course_id,user_id,assignment_id,title,due_at,status,submitted_at,score,points_possible
1,3,3,Linear Equations Set,2026-09-13T23:59,missing,,0,20
1,4,4,Word Problems Set,2026-09-16T23:59,due_soon,,,20
1,4,5,Practice Test 1 Reflection,2026-09-17T23:59,due_soon,,,10
1,5,2,Grammar Rules Drill 1,2026-09-11T23:59,missing,,0,15
1,5,3,Linear Equations Set,2026-09-13T23:59,missing,,0,20
1,5,5,Practice Test 1 Reflection,2026-09-17T23:59,due_soon,,,10
1,6,1,Reading Diagnostic,2026-09-05T23:59,missing,,0,20
1,6,2,Grammar Rules Drill 1,2026-09-11T23:59,missing,,0,15
1,6,3,Linear Equations Set,2026-09-13T23:59,missing,,0,20
1,6,4,Word Problems Set,2026-09-16T23:59,due_soon,,,20
1,6,5,Practice Test 1 Reflection,2026-09-17T23:59,due_soon,,,10
1,8,4,Word Problems Set,2026-09-16T23:59,due_soon,,,20
1,10,2,Grammar Rules Drill 1,2026-09-11T23:59,missing,,0,15
1,10,3,Linear Equations Set,2026-09-13T23:59,missing,,0,20
1,10,4,Word Problems Set,2026-09-16T23:59,due_soon,,,20
1,10,5,Practice Test 1 Reflection,2026-09-17T23:59,due_soon,,,10
1,11,4,Word Problems Set,2026-09-16T23:59,due_soon,,,20
1,11,5,Practice Test 1 Reflection,2026-09-17T23:59,due_soon,,,10
