title,topics,difficulty,is_practice
Reading Diagnostic,Reading,core,false
Grammar Rules Drill 1,Writing and Language,core,false
Reading Checkpoint Quiz,Reading,checkpoint,false
Reading Practice Set,Reading,practice,true
Grammar Practice Set,Writing and Language,practice,true
Linear Equations Set,Heart of Algebra,core,false
Word Problems Set,Problem Solving and Data Analysis,core,false
Algebra Checkpoint Quiz,Heart of Algebra,checkpoint,false
Algebra Refresher,Heart of Algebra,practice,true
Data Analysis Practice,Problem Solving and Data Analysis,practice,true
Practice Test 1 Reflection,"Full Test,Reading,Writing and Language,Heart of Algebra",test,false
Practice Test 2 Reflection,"Full Test,Reading,Writing and Language,Heart of Algebra",test,false
Linear Equations Practice,Heart of Algebra,practice,true
